"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"BeAddiction","","","",0,*,"","","","","A subject's addiction","A record of a patient's addiction.","","","","","","","","","",,,,,"",,,,"Resource",0,*,"","","Entity. Role, or Act"
"BeAddiction.recordedDate","","","",1,1,"","","","dateTime {[CanonicalType[http://hl7.org/fhir/StructureDefinition/dateTime]]} {[]}
","The date when the addiction is being recorded or updated","The date when the addiction is being recorded or updated","","","","","","","","","",,,,,"",,,,"BeAddiction.recordedDate",1,1,"",""
"BeAddiction.period","","","",0,1,"","","","BackboneElement {[]} {[]}
","The time when the patient suffered or suffers from addiction","The actual period this addiction was true. (e.g. used when a patient used to abuse alcohol) - or the beginning of addiction in case the addiction is still active","","","","","","","","","",,,,,"",,,,"BeAddiction.period",0,1,"",""
"BeAddiction.period.time","","","",0,1,"","","","Period {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Period]]} {[]}
","The actual time period of the addiction, if it is known","The actual period of the addiction or the beginning of addiction in case the addiction is still active","","","","","","","","","",,,,,"",,,,"BeAddiction.period.time",0,1,"",""
"BeAddiction.period.text","","","",0,1,"","","","CodeableConcept {[]} {[]}
","A free text indication of the time period of addiction - e.g. ""teenager"", etc.","A free text indication of the time period of addiction - e.g. as ""teenager"", ""approx 5 years ago"", etc","","","","","","","","","",,,,,"",,,,"BeAddiction.period.text",0,1,"",""
"BeAddiction.quantity","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Quantity]]} {[]}
","Quantifier of addiction e.g. number of cigarettes per day","e.g. number of cigarettes per day","","","","","","","","","",,,,,"",,,,"BeAddiction.quantity",0,1,"",""
"BeAddiction.inTreatment","","","",0,1,"","","","boolean {[]} {[]}
","Whether the addiction is known to be under treatment","Is this patient following a treatment for this addiction?","","","","","","","","","",,,,,"",,,,"BeAddiction.inTreatment",0,1,"",""
"BeAddiction.treatment","","","",0,*,"","","","Reference {[]} {[]}
","The links to the treatment(s) associated with this addition, if existing and known","Is this patient following a treatment for this addiction?
(In technical reality, this will be actually a Procedure instance that refers to the Addiction instance)","","","","","","","","","",,,,,"",,,,"BeAddiction.treatment",0,*,"",""
"BeAddiction.recorder","","","",1,*,"","","","BackboneElement {[]} {[]}
","Participants that report the addiction","Clinical parties or informers that participate in reporting the addiction","","","","","","","","","",,,,,"",,,,"BeAddiction.recorder",1,*,"",""
"BeAddiction.recorder.performer","","","",1,1,"","","","Reference {[]} {[]}
","Person that performed the recording or reporting","Who was responsible for asserting the observed value as ""true"".","","","","","","","","","",,,,,"",,,,"BeAddiction.recorder.performer",1,1,"",""
"BeAddiction.recorder.performer.reference","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitioner]]}
","Reference to person that performed the recording or reporting","Who was responsible for asserting the observed value as ""true"". (Reference)","","","","","","","","","",,,,,"",,,,"BeAddiction.recorder.performer.reference",1,1,"",""
"BeAddiction.recorder.performerCode","","","",0,1,"","","","CodeableConcept {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CodeableConcept]]} {[]}
","The role or action that the person took - for example informer, recorder, verifier..","To mark the performer as 'INF' (informer) - in case the addiction is reported by family","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/performer-function","",,,,"BeAddiction.recorder.performerCode",0,1,"",""
"BeAddiction.note","","","",0,*,"","","","Annotation {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Annotation]]} {[]}
","Additional information about the addiction","Additional information about the addiction - this can be relevant history, any remarks by the patient or professional, etc.","","","","","","","","","",,,,,"",,,,"BeAddiction.note",0,*,"",""
